"age","gender","size","breed"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Large","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Senior","Female","Large","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Adult","Female","Large","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Adult","Female","Small","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Senior","Male","Medium","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Young","Female","Small","American Bobtail"
"Young","Female","Small","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Large","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Adult","Female","Small","American Bobtail"
"Senior","Male","Large","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Baby","Male","Small","American Bobtail"
"Baby","Male","Small","American Bobtail"
"Young","Male","Large","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Adult","Female","Small","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Male","Small","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Large","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Adult","Female","Small","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Male","Small","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Young","Female","Small","American Bobtail"
"Young","Female","Small","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Young","Male","Large","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Senior","Male","Medium","American Bobtail"
"Baby","Male","Large","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Young","Female","Small","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Female","Large","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Male","Large","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Young","Male","Large","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Baby","Male","Small","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Large","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Young","Female","Small","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Young","Female","Small","American Bobtail"
"Baby","Male","Large","American Bobtail"
"Young","Male","Small","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Young","Male","Small","American Bobtail"
"Young","Female","Small","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Male","Small","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Senior","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Senior","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Adult","Male","Small","American Bobtail"
"Senior","Male","Large","American Bobtail"
"Young","Female","Large","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Baby","Male","Large","American Bobtail"
"Baby","Male","Large","American Bobtail"
"Young","Female","Small","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Young","Female","Small","American Bobtail"
"Young","Male","Small","American Bobtail"
"Young","Male","Small","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Baby","Female","Large","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Young","Female","Small","American Bobtail"
"Adult","Female","Medium","American Bobtail"
